ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
One-percent Low Fat Milk Jug	100	2.5	1.5	0	10	125	12	0	12	8
Coca-Cola (Small)	150	0	0	0	0	35	40	0	40	0
Diet Coke (Small)	0	0	0	0	0	10	0	0	0	0
Dr Pepper (Small)	140	0	0	0	0	40	38	0	37	0
Diet Dr Pepper (Small)	0	0	0	0	0	75	0	0	0	0
Sprite (Small)	150	0	0	0	0	70	39	0	38	0
Iced Tea (Small)	0	0	0	0	0	10	0	0	0	0
Sweet Tea (Small)	90	0	0	0	0	15	21	0	21	0
POWERADE Mountain Berry Blast (Small)	90	0	0	0	0	110	22	0	22	0
Sweet Tea (Medium)	110	0	0	0	0	20	28	0	28	0
Coca-Cola (Extra Small)	110	0	0	0	0	25	30	0	30	0
Coca-Cola (Large)	290	0	0	0	0	70	77	0	77	0
Coca-Cola (Medium)	220	0	0	0	0	55	59	0	59	0
Diet Coke (Extra Small)	0	0	0	0	0	10	0	0	0	0
Diet Coke (Large)	0	0	0	0	0	20	1	0	0	0
Diet Coke (Medium)	0	0	0	0	0	15	0	0	0	0
Diet Dr Pepper (Extra Small)	0	0	0	0	0	55	0	0	0	0
Diet Dr Pepper (Large)	0	0	0	0	0	140	0	0	0	0
Diet Dr Pepper (Medium)	0	0	0	0	0	105	0	0	0	0
Dr Pepper (Extra Small)	100	0	0	0	0	30	27	0	27	0
Dr Pepper (Large)	280	0	0	0	0	80	75	0	73	0
Dr Pepper (Medium)	200	0	0	0	0	55	54	0	53	0
Iced Tea (Extra Small)	0	0	0	0	0	10	0	0	0	0
Iced Tea (Large)	5	0	0	0	0	20	0	0	0	1
Iced Tea (Medium)	0	0	0	0	0	15	0	0	0	1
Minute Maid Orange Juice (Large)	280	0	0	0	0	5	65	0	58	4
POWERADE Mountain Berry Blast (Extra Small)	70	0	0	0	0	85	16	0	16	0
POWERADE Mountain Berry Blast (Large)	170	0	0	0	0	210	42	0	42	0
POWERADE Mountain Berry Blast (Medium)	120	0	0	0	0	160	31	0	31	0
Sprite (Extra Small)	110	0	0	0	0	50	29	0	29	0
