ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit) 14.9 oz (423 g)	990	46	16	0	55	2170	110	6	17	35
Fruit & Maple Oatmeal 8.9 oz (251 g)	290	4	1.5	0	5	160	58	5	32	5
Fruit & Maple Oatmeal without Brown Sugar 8.8 oz (250 g)	260	4	1.5	0	5	115	49	5	18	5
Sausage Biscuit with Egg Whites (Large Size Biscuit) 6.4 oz (181 g)	520	32	13	0	35	1290	40	3	3	18
Sausage Biscuit with Egg Whites (Regular Size Biscuit) 5.9 oz (167 g)	460	27	12	0	35	1180	34	2	3	18
Sausage, Egg & Cheese McGriddles with Egg Whites 7.2 oz (205 g)	500	26	10	0	50	1320	46	2	15	21
Bacon, Egg & Cheese Bagel 6.7 oz (190 g)	590	29	10	0.5	265	1340	56	3	7	27
Steak & Egg McMuffin 6.5 oz (185 g)	430	23	9	1	300	960	31	4	3	26
Sausage McMuffin® 3.9 oz (111 g)	370	23	8	0	45	780	29	4	2	14
Side Salad 3.1 oz (87 g)	20	0	0	0	0	10	4	1	2	1
Premium Bacon Ranch Salad (without chicken) 7.9 oz (225 g)	150	8	4	0	30	320	10	3	4	10
Premium Southwest Salad (without chicken) 8.4 oz (239 g)	170	7	3	0	15	210	20	6	6	8
Premium Bacon Ranch Salad with Crispy Chicken 11.3 oz (321 g)	400	22	6	0	70	880	24	3	7	26
Premium Bacon Ranch Salad with Grilled Chicken 10.9 oz (308 g)	240	9	4.5	0	90	720	10	3	5	30
Premium Southwest Salad with Crispy Chicken 12.6 oz (357 g)	480	24	6	0	60	910	43	7	12	25
Premium Southwest Salad with Grilled Chicken 12.1 oz (343 g)	320	11	4	0	75	740	29	7	10	29
Fruit 'n Yogurt Parfait 5.2 oz (149 g)	150	2	1	0	5	80	30	1	23	4
Small French Fries 2.6 oz (75 g)	230	11	1.5	0	0	130	30	2	0	2
Apple Slices 1.2 oz (34 g)	15	0	0	0	0	0	4	0	3	0
Side Salad 3.1 oz (87 g)	20	0	0	0	0	10	4	1	2	1
Large French Fries 5.9 oz (168 g)	510	24	3.5	0	0	290	67	5	0	6
Medium French Fries 3.9 oz (111 g)	340	16	2.5	0	0	190	44	4	0	4
Kids Fries 1.3 oz (38 g)	110	5	1	0	0	65	15	1	0	1
Chipotle BBQ Snack Wrap (Crispy) 4.6 oz (130 g)	340	15	4.5	0	30	780	37	1	8	14
Chipotle BBQ Snack Wrap (Grilled) 4.3 oz (123 g)	260	8	3.5	0	40	700	30	1	7	16
Honey Mustard Snack Wrap (Crispy) 4.4 oz (126 g)	340	16	4.5	0	35	750	34	2	5	14
Honey Mustard Snack Wrap (Grilled) 4.2 oz (119 g)	260	9	3.5	0	45	660	27	2	4	16
Ranch Snack Wrap® (Crispy) 4.5 oz (128 g)	360	20	5	0	40	810	32	1	3	15
Ranch Snack Wrap® (Grilled) 4.3 oz (121 g)	280	13	4.5	0	45	720	25	1	2	16
Mac Snack Wrap 4.4 oz (125 g)	330	19	7	1	45	670	26	1	3	14
Strawberry Gogurt 2.3 oz (64 g)	50	0.5	0	0	5	35	9	0	6	2
Cuties 3 oz (85 g)	40	0	0	0	0	0	10	1	8	1
McCafé Mocha (Small) 12 fl oz cup	340	11	7	0	35	150	49	2	42	10
Coffee (Small) 12 fl oz cup	0	0	0	0	0	0	0	0	0	0
Chocolate McCafé Shake (Small) 12 fl oz	560	16	10	1	60	240	91	1	77	12
